measure,year,tax_type,constitutional_amendment,severability_type,severability_text,notes
"Proposition 15 (Tax on Commercial and Industrial Properties for Education and Local Government Funding / Schools and Communities First)",2020,Property tax (split roll; commercial and industrial reassessment),Yes,Standard,"SEC. 10. Severability. The provisions of this act are severable. If any portion, section, subdivision, paragraph, clause, sentence, phrase, word, or application of this act is for any reason held to be invalid by a decision of any court of competent jurisdiction, that decision shall not affect the validity of the remaining portions of this act. The people of the State of California hereby declare that they would have adopted this act and each and every portion, section, subdivision, paragraph, clause, sentence, phrase, word, and application not declared invalid or unconstitutional without regard to whether any portion of this act or application thereof would be subsequently declared invalid. Notwithstanding the foregoing, Section 7 of this act is non-severable from Section 6 of this act.","Failed. The most elaborate severability architecture found in any tax measure other than the Billionaire Tax Act, and instructive precisely because of how it differs. Prop 15 adds (i) a would-have-adopted declaration, (ii) an express non-severability pairing (SEC. 7 falls with SEC. 6), and (iii) SEC. 11 Liberal Construction. All three operate on the scope of severance -- which provisions stand or fall together. None instructs a court to rewrite any provision, and none preserves the tax imposition or reforms any date. Verified against SOS Text of Proposed Laws, 2020 general (topl-prop15.pdf)."
"Proposition 19 (Property Tax Transfers, Exemptions, and Revenue for Wildfire Agencies and Counties)",2020,Property tax (base-year value transfer; parent-child exclusion),Yes,None,"No severability provision. The measure (ACA 11) comprises SECTION 1 adding Sections 2.1, 2.2, and 2.3 to Article XIII A. The text ends at Section 2.3(f). No severability clause appears anywhere in the text.","Passed. A legislatively referred constitutional amendment restructuring property tax transfer rules. No severability clause. Verified against SOS Text of Proposed Laws, 2020 general (topl-prop19.pdf)."
"Proposition 30 (Tax on Income Above $2 Million for Zero-Emissions Vehicles and Wildfire Prevention / Clean Cars and Clean Air Act)",2022,Personal income tax surcharge (1.75% above $2 million),No,Standard,"SEC. 4. Severability. The provisions of this act are severable. If any portion, section, subdivision, paragraph, subparagraph, clause, sentence, phrase, word, or application of this act is for any reason held to be invalid by a decision of any court of competent jurisdiction, that decision shall not affect the validity of the remaining portions of this act. The people of the State of California hereby declare that they would have adopted this act and each and every portion, section, subdivision, paragraph, subparagraph, clause, sentence, phrase, word, and application not declared invalid or unconstitutional without regard to whether any part of this act or application thereof would be subsequently declared invalid.","Failed. A high-income surcharge measure -- the same tax family as the Billionaire Tax Act. Includes the would-have-adopted declaration but no remedial instruction, no preservation-of-imposition command, and no date reform. Verified against SOS Text of Proposed Laws, 2022 general (topl30.pdf)."
"Proposition 35 (Managed Care Organization Tax Authorization / Protect Access to Health Care Act)",2024,Managed care organization provider tax,No,Standard,"(a) Severability. The provisions of this chapter are severable. If any portion, section, subdivision, paragraph, subparagraph, clause, subclause, sentence, phrase, word, or application of this chapter is for any reason held to be invalid by a decision of any court of competent jurisdiction, that decision shall not affect the validity of the remaining portions of this chapter. The people of the State of California hereby declare that they would have adopted this chapter and each and every portion, section, subdivision, paragraph, subparagraph, clause, subclause, sentence, phrase, word, and application not declared invalid or unconstitutional without regard to whether any part of this chapter or application thereof would be subsequently declared invalid.","Passed. Most recent tax ballot measure before Prop 40. General-form clause plus would-have-adopted declaration. No remedial instruction. Verified against SOS Text of Proposed Laws, 2024 general (prop35-text-proposed-laws.pdf)."
"Proposition 40 (2026 Billionaire Tax Act) [Initiative 25-0024A1]",2026,One-time wealth tax (5% of net worth) characterized as an excise,Yes (adds Art. XIII sec. 37),Directive + Date Reform,"50311. Severability. (a) The provisions of the 2026 Billionaire Tax Act, also referred to as ""the Act,"" are severable. While the Act has been carefully designed to comply with existing law, if any provision of the Act or its application is held invalid, unconstitutional, or otherwise unenforceable, that finding shall not affect the enforceability of other provisions or applications. (b) In applying the Act, a court shall, to the maximum extent consistent with the United States and California Constitutions, preserve the imposition of the tax authorized, including by reforming dates or periods specified, using the most limited adjustment possible to cure any constitutional or other legal defect, while allowing the remaining provisions to operate. If a court determines that imposing liability under this Act by reference to the tax obligation date specified in subdivision (n) of Section 50308 or the valuation date specified in subdivision (o) of Section 50308, in whole or in part, is contrary to the United States Constitution, the California Constitution, or other governing federal law, then, to the extent of that determination, all references in the Act and in Section 37 of Article XIII to the ""tax obligation date"" and ""valuation date"" shall instead be construed to refer to the earliest date or dates subsequent to the tax obligation date or valuation date, as applicable, on which liability may be imposed consistently with such law. In reforming any dates or periods specified in the Act, a court shall, to the maximum extent permitted by law, preserve the imposition of the tax for the 2026 tax year, or if that is not permissible then for 2027 or the earliest permissible subsequent year, while otherwise preserving the overall structure and purposes of this Act.","Measure analyzed in the paper. Subdivision (a) is standard boilerplate. Subdivision (b) is without precedent in the surveyed set: it is mandatory (""a court shall""), it commands an outcome (""preserve the imposition of the tax""), it authorizes judicial reformation of statutory text (""reforming dates or periods""), it supplies the substitute term (""the earliest date or dates subsequent to""), and it ranks fallback tax years (2026, then 2027, then the earliest permissible subsequent year). Reinforced by sec. 50313 (liberal construction) and sec. 50314 (60-day facial challenge window, exclusive Sacramento venue, direct appeal to the California Supreme Court). Verified against the official Attorney General text, Initiative 25-0024A1, at pp. 26-27."
"SB 1 (2017) Road Repair and Accountability Act (Ch. 5, Stats. 2017)",2017,Excise (motor vehicle fuel and diesel) and transportation improvement fee,No,None,"No severability provision. The chaptered bill contains extensive legislative findings and amendments across multiple codes but no clause preserving remaining provisions if one is held invalid.","Major legislative tax increase (approx. $5 billion annually), enacted by two-thirds vote, and the direct target of Prop 6 (2018). No severability clause. Verified against leginfo chaptered text."
"AB 398 (2017) California Global Warming Solutions Act cap-and-trade extension (Ch. 135, Stats. 2017)",2017,Cap-and-trade allowance auction (judicially characterized as a fee/tax hybrid),No,None,"No severability provision. The bill contains sunset and operative/inoperative dates (provisions expiring January 1, 2031) but no severability clause.","Passed by two-thirds vote specifically to inoculate the auction program against the tax-vs-fee challenge litigated in California Chamber of Commerce v. State Air Resources Board. Despite that acknowledged constitutional exposure, the Legislature added no severability clause and no remedial instruction. Verified against leginfo chaptered text."
"AB 147 (2019) Marketplace Facilitator Act / post-Wayfair sales and use tax nexus (Ch. 5, Stats. 2019)",2019,Sales and use tax (economic nexus; marketplace facilitator collection),No,Standard,"The provisions of this chapter are severable. If any provision of this chapter or its application is held invalid, that invalidity shall not affect other provisions or applications that can be given effect without the invalid provision or application. [Rev. & Tax. Code sec. 6049.5(b)]","The one surveyed legislative tax measure that does contain a severability clause. Enacted directly in response to South Dakota v. Wayfair and squarely exposed to dormant Commerce Clause challenge -- yet the clause is the shortest general-form boilerplate in the entire survey. No remedial instruction, no preservation of tax liability, no date reform. Verified against leginfo chaptered text."
"AB 150 (2021) Pass-Through Entity Elective Tax (SALT cap workaround) (Ch. 82, Stats. 2021)",2021,Elective entity-level income tax,No,None,"No severability provision. The bill includes a state-mandates reimbursement provision but no clause preserving remaining provisions if one is held invalid.","Enacted against explicit federal uncertainty about whether the IRS would respect the deduction, i.e., known legal risk, yet no severability clause. Verified against leginfo chaptered text."
"AB 119 (2023) Managed Care Organization Provider Tax (Ch. 13, Stats. 2023)",2023,Managed care organization provider tax,No,"None (reverse-directive: invalidity terminates the tax and triggers refunds)","Rev. & Tax./Welf. & Inst. Code sec. 14199.86: the article ""shall cease to be operative"" upon ""a final judicial determination ... that the tax ... cannot be implemented,"" and ""any amount of the tax paid ... shall be refunded."" Sec. 14199.86(e) requires the director to implement a wind-down plan to end the program, including recoupment of payments if ordered by a court or by federal determination.","This is the only surveyed measure other than Prop 40 whose text tells anyone what to do if a court invalidates the tax -- and it instructs the opposite result. Where sec. 50311(b) commands a court to preserve the tax imposition and reform dates to save it, AB 119 provides that judicial invalidation terminates the tax and requires refunds to taxpayers. The Legislature's approach to an identified judicial-invalidation risk was an all-or-nothing wind-down, not judicial reformation. Verified against leginfo chaptered text."
